1 H_25.40000_18.11473
1705 -0.07219 -4.44776
1706 1.99629 -0.32707
1707 -0.38641 1.03604
1708 2.79632 -3.59955
1712 5.60924 1.12119
1713 1.26052 0.47731
1714 1.13425 -1.40140
1716 6.64356 -4.62714
1717 6.58244 -5.17825
1718 6.12287 -4.57755
1719 8.87425 -4.06764
1723 5.62157 4.18624
1724 5.36685 3.47845
1726 7.15830 -3.54798
1727 6.26052 0.63462
1771 0.85615 4.70582
1780 6.12045 -1.90231
1781 0.05811 -4.53364
1782 -0.94013 -4.73854
1783 11.41368 0.20619
1784 7.85681 6.36216
1785 1.23661 -3.53919
1787 -1.43147 5.61292
1788 -9.27195 3.74184
1819 -7.08843 4.52883
1835 0.34186 -0.24610
1836 -3.75848 -2.46487
1837 7.57835 1.44686
1838 -4.91935 -0.63228
1845 -7.84849 2.43448
1846 -2.11186 -0.11631
1977 -12.52742 2.24362
1978 7.96153 6.37750
1985 1.53414 3.51161
1992 -7.98681 -4.43368
-99
4 H_25.40000_16.10079
1006 -11.10119 1.10157
1007 -6.01991 6.61675
1008 -11.26352 5.43470
1009 -5.13652 7.41460
1010 -2.67793 4.05349
1011 -9.56304 4.11674
1012 -8.30552 3.41303
1013 -7.50608 5.80897
1014 -3.77290 7.69222
1015 -7.64612 6.46408
1016 -11.46906 5.60120
1017 -11.13573 3.79663
1019 -1.36365 6.77515
1031 -0.75082 -2.62552
1033 -0.30858 -3.28114
1035 0.19858 -5.30187
1036 -8.16400 -2.12348
1037 -0.18775 -1.85118
1038 1.72184 -4.03351
1041 6.83658 -4.89732
1094 3.99144 2.40031
1097 0.19851 5.42020
1099 4.15047 2.63614
1100 -0.16692 7.28111
1136 -1.28826 -4.64056
1137 3.46512 7.62531
1138 -1.51199 7.88116
1139 -2.76084 5.34606
1140 -3.23395 -4.80714
1141 -11.64841 -5.03345
1142 5.99278 -3.45891
1143 -12.42792 -6.02313
1144 -5.53144 -5.87071
1145 3.47347 -6.17988
1146 -3.85830 -5.58589
1147 -2.28978 -3.56499
1148 -2.58826 0.60709
1149 -2.73619 -4.22269
1155 2.64473 1.66216
1156 -7.46155 3.35138
1157 1.82126 -7.59283
1164 4.69422 2.52237
1165 -6.32360 2.97306
1170 8.41921 2.34566
1174 3.75676 1.51066
1176 -4.29347 -6.60937
1244 -7.99471 2.18243
1255 5.99468 2.71064
1256 8.02944 3.47839
